year,avg_attendance,total_games
1950,23651,108
1955,22345,108
1960,24589,108
1965,25134,108
1970,24012,108
1975,21456,108
1980,23789,132
1985,23123,132
1990,25678,176
1991,24567,176
1992,26789,176
1993,27123,176
1994,28456,176
1995,29012,176
1996,29345,176
1997,30123,176
1998,30567,176
1999,31234,176
2000,32345,176
2001,33123,176
2002,33456,176
2003,34012,176
2004,35234,176
2005,35678,176
2006,36012,176
2007,37234,176
2008,37456,176
2009,37012,176
2010,36234,176
2011,33123,187
2012,32678,198
2013,33456,198
2014,33234,198
2015,33012,198
2016,33567,198
2017,34234,198
2018,35012,198
2019,34567,198
2020,8923,153
2021,19234,198
2022,30567,198
2023,33456,198
2024,34123,198
2025,35234,198
