player,year,votes_year,cumulative_votes
Gary Ablett Jr,2005,8,8
Gary Ablett Jr,2006,14,22
Gary Ablett Jr,2007,18,40
Gary Ablett Jr,2008,22,62
Gary Ablett Jr,2009,30,92
Gary Ablett Jr,2010,16,108
Gary Ablett Jr,2011,20,128
Gary Ablett Jr,2012,24,152
Gary Ablett Jr,2013,28,180
Gary Ablett Jr,2014,8,188
Gary Ablett Jr,2015,4,192
Gary Ablett Jr,2016,12,204
Gary Ablett Jr,2017,6,210
Gary Ablett Jr,2018,10,220
Gary Ablett Jr,2019,8,228
Gary Ablett Jr,2020,2,230
Nat Fyfe,2012,4,4
Nat Fyfe,2013,8,12
Nat Fyfe,2014,18,30
Nat Fyfe,2015,31,61
Nat Fyfe,2016,10,71
Nat Fyfe,2017,14,85
Nat Fyfe,2018,12,97
Nat Fyfe,2019,33,130
Nat Fyfe,2020,8,138
Nat Fyfe,2021,6,144
Nat Fyfe,2022,10,154
Nat Fyfe,2023,4,158
Nat Fyfe,2024,2,160
Patrick Dangerfield,2008,2,2
Patrick Dangerfield,2009,4,6
Patrick Dangerfield,2010,8,14
Patrick Dangerfield,2011,12,26
Patrick Dangerfield,2012,16,42
Patrick Dangerfield,2013,14,56
Patrick Dangerfield,2014,18,74
Patrick Dangerfield,2015,20,94
Patrick Dangerfield,2016,35,129
Patrick Dangerfield,2017,16,145
Patrick Dangerfield,2018,12,157
Patrick Dangerfield,2019,18,175
Patrick Dangerfield,2020,14,189
Patrick Dangerfield,2021,8,197
Patrick Dangerfield,2022,10,207
Patrick Dangerfield,2023,6,213
Patrick Dangerfield,2024,4,217
Dustin Martin,2012,2,2
Dustin Martin,2013,4,6
Dustin Martin,2014,8,14
Dustin Martin,2015,12,26
Dustin Martin,2016,18,44
Dustin Martin,2017,36,80
Dustin Martin,2018,14,94
Dustin Martin,2019,16,110
Dustin Martin,2020,20,130
Dustin Martin,2021,8,138
Dustin Martin,2022,4,142
Dustin Martin,2023,2,144
Patrick Cripps,2016,2,2
Patrick Cripps,2017,4,6
Patrick Cripps,2018,8,14
Patrick Cripps,2019,14,28
Patrick Cripps,2020,18,46
Patrick Cripps,2021,16,62
Patrick Cripps,2022,29,91
Patrick Cripps,2023,22,113
Patrick Cripps,2024,30,143
Patrick Cripps,2025,18,161
Lachie Neale,2016,2,2
Lachie Neale,2017,6,8
Lachie Neale,2018,10,18
Lachie Neale,2019,16,34
Lachie Neale,2020,31,65
Lachie Neale,2021,18,83
Lachie Neale,2022,20,103
Lachie Neale,2023,31,134
Lachie Neale,2024,16,150
Lachie Neale,2025,14,164
Dane Swan,2005,2,2
Dane Swan,2006,4,6
Dane Swan,2007,8,14
Dane Swan,2008,14,28
Dane Swan,2009,18,46
Dane Swan,2010,22,68
Dane Swan,2011,34,102
Dane Swan,2012,24,126
Dane Swan,2013,16,142
Dane Swan,2014,8,150
Dane Swan,2015,4,154
Dane Swan,2016,2,156
Scott Pendlebury,2006,2,2
Scott Pendlebury,2007,4,6
Scott Pendlebury,2008,6,12
Scott Pendlebury,2009,10,22
Scott Pendlebury,2010,16,38
Scott Pendlebury,2011,20,58
Scott Pendlebury,2012,18,76
Scott Pendlebury,2013,14,90
Scott Pendlebury,2014,16,106
Scott Pendlebury,2015,12,118
Scott Pendlebury,2016,14,132
Scott Pendlebury,2017,10,142
Scott Pendlebury,2018,8,150
Scott Pendlebury,2019,10,160
Scott Pendlebury,2020,6,166
Scott Pendlebury,2021,4,170
Scott Pendlebury,2022,2,172
Tom Mitchell,2014,2,2
Tom Mitchell,2015,4,6
Tom Mitchell,2016,10,16
Tom Mitchell,2017,16,32
Tom Mitchell,2018,28,60
Tom Mitchell,2019,0,60
Tom Mitchell,2020,12,72
Tom Mitchell,2021,14,86
Tom Mitchell,2022,10,96
Tom Mitchell,2023,8,104
Tom Mitchell,2024,6,110
Marcus Bontempelli,2016,4,4
Marcus Bontempelli,2017,8,12
Marcus Bontempelli,2018,10,22
Marcus Bontempelli,2019,16,38
Marcus Bontempelli,2020,14,52
Marcus Bontempelli,2021,22,74
Marcus Bontempelli,2022,18,92
Marcus Bontempelli,2023,20,112
Marcus Bontempelli,2024,24,136
Marcus Bontempelli,2025,22,158
