year,player,team,votes
2005,Ben Cousins,West Coast,20
2006,Adam Goodes,Sydney,26
2007,Jimmy Bartel,Geelong,29
2008,Adam Cooney,Western Bulldogs,24
2009,Gary Ablett Jr,Geelong,30
2010,Chris Judd,Carlton,30
2011,Dane Swan,Collingwood,34
2012,Jobe Watson,Essendon,30
2013,Gary Ablett Jr,Gold Coast,28
2014,Matt Priddis,West Coast,26
2015,Nat Fyfe,Fremantle,31
2016,Patrick Dangerfield,Geelong,35
2017,Dustin Martin,Richmond,36
2018,Tom Mitchell,Hawthorn,28
2019,Nat Fyfe,Fremantle,33
2020,Lachie Neale,Brisbane Lions,31
2021,Ollie Wines,Port Adelaide,36
2022,Patrick Cripps,Carlton,29
2023,Lachie Neale,Brisbane Lions,31
2024,Patrick Cripps,Carlton,30
2025,Matt Rowell,Gold Coast,33
