player,goals,games,avg_goals_per_game,team,career_start,career_end
Tony Lockett,1360,281,4.84,St Kilda/Sydney,1983,2002
Gordon Coventry,1299,306,4.25,Collingwood,1920,1937
Jason Dunstall,1254,269,4.66,Hawthorn,1985,1998
Doug Wade,1057,208,5.08,Geelong/North Melbourne,1961,1975
Gary Ablett Sr,1031,248,4.16,Geelong,1982,1996
Jack Titus,970,294,3.3,Richmond,1926,1943
Matthew Lloyd,926,270,3.43,Essendon,1995,2009
Lance Franklin,1066,354,3.01,Hawthorn/Sydney,2005,2023
Peter Hudson,727,129,5.64,Hawthorn,1967,1977
John Coleman,537,98,5.48,Essendon,1949,1954
Bernie Quinlan,817,366,2.23,Footscray/Fitzroy,1969,1986
Fred Fanning,579,121,4.79,Melbourne,1932,1945
Leigh Matthews,915,332,2.76,Hawthorn,1969,1985
Kevin Bartlett,778,403,1.93,Richmond,1965,1983
Barry Hall,746,289,2.58,St Kilda/Sydney/Western Bulldogs,1996,2011
