team,home_win_pct,away_win_pct,home_advantage
Geelong,78.2,52.3,25.9
Richmond,72.1,50.8,21.3
West Coast,75.6,38.4,37.2
Brisbane Lions,68.4,45.2,23.2
Sydney,71.3,48.7,22.6
Collingwood,65.8,49.3,16.5
Hawthorn,62.3,48.1,14.2
Port Adelaide,70.5,42.3,28.2
Adelaide,63.2,35.6,27.6
Fremantle,67.8,34.2,33.6
Melbourne,58.9,46.7,12.2
Western Bulldogs,59.4,45.8,13.6
Carlton,55.6,42.3,13.3
GWS Giants,62.1,41.5,20.6
Essendon,52.3,38.9,13.4
St Kilda,48.7,35.6,13.1
North Melbourne,42.3,28.9,13.4
Gold Coast,45.6,25.3,20.3
