position,team,played,wins,losses,draws,points_for,points_against,percentage,points
1,Adelaide,23,18,5,0,2234,1678,133.1,72
2,Geelong,23,17,6,0,2145,1712,125.3,68
3,Brisbane Lions,23,16,6,1,2123,1756,120.9,66
4,Sydney,23,16,7,0,2098,1789,117.3,64
5,Hawthorn,23,15,8,0,2045,1812,112.9,60
6,Collingwood,23,14,9,0,1989,1834,108.5,56
7,Gold Coast,23,15,8,0,1978,1845,107.2,60
8,Western Bulldogs,23,13,10,0,1923,1867,103.0,52
9,Carlton,23,12,11,0,1912,1889,101.2,48
10,Port Adelaide,23,12,11,0,1878,1901,98.8,48
11,Fremantle,23,11,12,0,1867,1912,97.6,44
12,GWS Giants,23,11,12,0,1834,1923,95.4,44
13,Melbourne,23,10,13,0,1812,1945,93.2,40
14,St Kilda,23,9,14,0,1789,1967,90.9,36
15,Richmond,23,8,15,0,1723,2012,85.6,32
16,Essendon,23,7,16,0,1656,2089,79.3,28
17,North Melbourne,23,6,17,0,1567,2134,73.4,24
18,West Coast,23,5,18,0,1498,2178,68.8,20
