year,position,team,wins,losses,draws,percentage,points
2000,1,Essendon,20,2,0,152.4,80
2000,2,Carlton,16,6,0,124.8,64
2000,3,Western Bulldogs,15,7,0,118.6,60
2000,4,North Melbourne,15,7,0,116.2,60
2000,5,Melbourne,14,8,0,112.4,56
2000,6,Brisbane Lions,13,9,0,108.6,52
2000,7,Hawthorn,12,10,0,104.2,48
2000,8,Richmond,11,11,0,98.8,44
2000,9,Fremantle,10,12,0,94.6,40
2000,10,Port Adelaide,10,12,0,92.4,40
2000,11,West Coast,9,13,0,88.6,36
2000,12,Sydney,9,13,0,86.2,36
2000,13,Adelaide,8,14,0,82.8,32
2000,14,St Kilda,7,15,0,78.4,28
2000,15,Geelong,6,16,0,74.6,24
2000,16,Collingwood,5,17,0,68.2,20
2001,1,Essendon,17,5,0,136.2,68
2001,2,Brisbane Lions,16,6,0,128.4,64
2001,3,Hawthorn,14,8,0,116.8,56
2001,4,Richmond,14,8,0,112.2,56
2001,5,Port Adelaide,13,9,0,108.6,52
2001,6,Carlton,12,10,0,104.4,48
2001,7,Adelaide,12,10,0,102.8,48
2001,8,Melbourne,11,11,0,98.6,44
2001,9,Western Bulldogs,11,11,0,96.2,44
2001,10,North Melbourne,10,12,0,94.8,40
2001,11,Sydney,10,12,0,92.4,40
2001,12,West Coast,9,13,0,88.6,36
2001,13,Collingwood,8,14,0,84.2,32
2001,14,Fremantle,7,15,0,78.6,28
2001,15,Geelong,6,16,0,72.4,24
2001,16,St Kilda,4,18,0,64.8,16
2002,1,Brisbane Lions,18,4,0,142.6,72
2002,2,Port Adelaide,17,5,0,132.4,68
2002,3,Collingwood,16,6,0,124.8,64
2002,4,Adelaide,14,8,0,114.6,56
2002,5,Sydney,14,8,0,112.2,56
2002,6,Essendon,13,9,0,108.4,52
2002,7,Melbourne,12,10,0,104.6,48
2002,8,West Coast,11,11,0,98.8,44
2002,9,Richmond,11,11,0,96.4,44
2002,10,Carlton,10,12,0,92.6,40
2002,11,St Kilda,9,13,0,88.2,36
2002,12,Western Bulldogs,8,14,0,84.8,32
2002,13,Geelong,8,14,0,82.4,32
2002,14,North Melbourne,7,15,0,76.6,28
2002,15,Hawthorn,6,16,0,72.8,24
2002,16,Fremantle,5,17,0,66.4,20
2003,1,Brisbane Lions,18,4,0,138.4,72
2003,2,Collingwood,16,6,0,126.8,64
2003,3,Port Adelaide,15,7,0,118.6,60
2003,4,Sydney,14,8,0,114.2,56
2003,5,Essendon,13,9,0,108.4,52
2003,6,Adelaide,12,10,0,104.6,48
2003,7,Fremantle,12,10,0,102.8,48
2003,8,West Coast,11,11,0,98.4,44
2003,9,Melbourne,10,12,0,94.6,40
2003,10,Richmond,10,12,0,92.2,40
2003,11,Carlton,9,13,0,88.8,36
2003,12,North Melbourne,9,13,0,86.4,36
2003,13,St Kilda,8,14,0,82.6,32
2003,14,Hawthorn,7,15,0,76.8,28
2003,15,Western Bulldogs,6,16,0,72.4,24
2003,16,Geelong,5,17,0,66.8,20
2004,1,Port Adelaide,17,5,0,134.2,68
2004,2,Brisbane Lions,16,6,0,128.6,64
2004,3,St Kilda,15,7,0,118.4,60
2004,4,Geelong,14,8,0,114.8,56
2004,5,Sydney,13,9,0,108.6,52
2004,6,Melbourne,12,10,0,104.2,48
2004,7,Essendon,12,10,0,102.4,48
2004,8,West Coast,11,11,0,98.6,44
2004,9,Adelaide,10,12,0,94.8,40
2004,10,Collingwood,10,12,0,92.4,40
2004,11,Fremantle,9,13,0,88.6,36
2004,12,Western Bulldogs,8,14,0,84.2,32
2004,13,Hawthorn,7,15,0,78.6,28
2004,14,North Melbourne,7,15,0,76.8,28
2004,15,Carlton,6,16,0,72.4,24
2004,16,Richmond,5,17,0,66.2,20
2005,1,Adelaide,16,6,0,128.4,64
2005,2,Sydney,15,7,0,122.6,60
2005,3,West Coast,15,7,0,118.8,60
2005,4,Geelong,14,8,0,114.2,56
2005,5,St Kilda,13,9,0,108.6,52
2005,6,Melbourne,12,10,0,104.4,48
2005,7,Carlton,11,11,0,98.8,44
2005,8,Western Bulldogs,11,11,0,96.4,44
2005,9,Collingwood,10,12,0,94.6,40
2005,10,Essendon,10,12,0,92.2,40
2005,11,Brisbane Lions,9,13,0,88.4,36
2005,12,Port Adelaide,9,13,0,86.8,36
2005,13,Fremantle,8,14,0,82.6,32
2005,14,Hawthorn,7,15,0,76.4,28
2005,15,North Melbourne,6,16,0,72.8,24
2005,16,Richmond,5,17,0,66.4,20
2006,1,West Coast,17,5,0,132.6,68
2006,2,Adelaide,16,6,0,126.4,64
2006,3,Fremantle,15,7,0,118.8,60
2006,4,Sydney,14,8,0,114.2,56
2006,5,Collingwood,13,9,0,108.6,52
2006,6,Melbourne,12,10,0,104.8,48
2006,7,St Kilda,12,10,0,102.4,48
2006,8,Western Bulldogs,11,11,0,98.6,44
2006,9,Brisbane Lions,10,12,0,94.2,40
2006,10,Geelong,10,12,0,92.8,40
2006,11,Essendon,9,13,0,88.4,36
2006,12,Port Adelaide,8,14,0,84.6,32
2006,13,Hawthorn,8,14,0,82.2,32
2006,14,North Melbourne,7,15,0,76.8,28
2006,15,Richmond,6,16,0,72.4,24
2006,16,Carlton,4,18,0,64.6,16
2007,1,Geelong,20,2,0,156.8,80
