team,premierships,grand_finals,first_premiership,last_premiership,state,latitude,longitude,home_ground
Carlton,16,27,1906,1995,VIC,-37.8136,144.9631,MCG
Collingwood,16,44,1902,2023,VIC,-37.8199,144.9834,MCG
Essendon,16,27,1897,2000,VIC,-37.7903,144.9153,Marvel Stadium
Hawthorn,13,20,1961,2015,VIC,-37.8199,144.9834,MCG
Melbourne,13,19,1900,2021,VIC,-37.8199,144.9834,MCG
Richmond,13,19,1920,2020,VIC,-37.8199,144.9834,MCG
Geelong,10,19,1925,2022,VIC,-38.158,144.3545,GMHBA Stadium
Sydney,5,10,1909,2012,NSW,-33.8916,151.2244,SCG
North Melbourne,4,8,1975,1999,VIC,-37.7986,144.9509,Marvel Stadium
Western Bulldogs,3,5,1954,2016,VIC,-37.7986,144.8847,Marvel Stadium
West Coast,4,7,1992,2018,WA,-31.9412,115.89,Optus Stadium
Adelaide,2,4,1997,1998,SA,-34.9152,138.596,Adelaide Oval
Brisbane Lions,5,7,2001,2025,QLD,-27.4848,153.0381,The Gabba
Port Adelaide,1,2,2004,2004,SA,-34.9152,138.596,Adelaide Oval
St Kilda,1,6,1966,1966,VIC,-37.8456,144.9652,Marvel Stadium
Fremantle,0,1,,,WA,-31.9412,115.89,Optus Stadium
Gold Coast,0,0,,,QLD,-28.0073,153.4145,People First Stadium
GWS Giants,0,1,,,NSW,-33.8474,150.9864,Engie Stadium
