team,year_joined,state,city
Carlton,1897,VIC,Melbourne
Collingwood,1897,VIC,Melbourne
Essendon,1897,VIC,Melbourne
Fitzroy,1897,VIC,Melbourne
Geelong,1897,VIC,Geelong
Melbourne,1897,VIC,Melbourne
St Kilda,1897,VIC,Melbourne
Sydney,1897,VIC,Melbourne
Richmond,1908,VIC,Melbourne
University,1908,VIC,Melbourne
Hawthorn,1925,VIC,Melbourne
North Melbourne,1925,VIC,Melbourne
Western Bulldogs,1925,VIC,Melbourne
West Coast,1987,WA,Perth
Brisbane Lions,1997,QLD,Brisbane
Adelaide,1991,SA,Adelaide
Fremantle,1995,WA,Perth
Port Adelaide,1997,SA,Adelaide
Gold Coast,2011,QLD,Gold Coast
GWS Giants,2012,NSW,Sydney
