team,city,state,latitude,longitude,home_ground,capacity,year_joined
Adelaide,Adelaide,SA,-34.9155,138.5961,Adelaide Oval,53583,1991
Brisbane Lions,Brisbane,QLD,-27.4858,153.0381,The Gabba,42000,1997
Carlton,Melbourne,VIC,-37.8199,144.9834,MCG,100024,1897
Collingwood,Melbourne,VIC,-37.8199,144.9834,MCG,100024,1897
Essendon,Melbourne,VIC,-37.8165,144.9475,Marvel Stadium,53359,1897
Fremantle,Perth,WA,-31.9512,115.8891,Optus Stadium,60000,1995
Geelong,Geelong,VIC,-38.158,144.3545,GMHBA Stadium,36000,1897
Gold Coast,Gold Coast,QLD,-27.9783,153.3748,People First Stadium,25000,2011
GWS Giants,Sydney,NSW,-33.8474,150.9864,Engie Stadium,24000,2012
Hawthorn,Melbourne,VIC,-37.8199,144.9834,MCG,100024,1925
Melbourne,Melbourne,VIC,-37.8199,144.9834,MCG,100024,1897
North Melbourne,Melbourne,VIC,-37.8165,144.9475,Marvel Stadium,53359,1925
Port Adelaide,Adelaide,SA,-34.9155,138.5961,Adelaide Oval,53583,1997
Richmond,Melbourne,VIC,-37.8199,144.9834,MCG,100024,1908
St Kilda,Melbourne,VIC,-37.8165,144.9475,Marvel Stadium,53359,1897
Sydney,Sydney,NSW,-33.8916,151.2244,SCG,48601,1897
West Coast,Perth,WA,-31.9512,115.8891,Optus Stadium,60000,1987
Western Bulldogs,Melbourne,VIC,-37.8165,144.9475,Marvel Stadium,53359,1925
