venue,city,state,avg_attendance,total_games,capacity,latitude,longitude
MCG,Melbourne,VIC,48234,48,100024,-37.8199,144.9834
Marvel Stadium,Melbourne,VIC,32456,40,53359,-37.8165,144.9475
Adelaide Oval,Adelaide,SA,42345,22,53583,-34.9155,138.5961
Optus Stadium,Perth,WA,51234,22,60000,-31.9512,115.8891
The Gabba,Brisbane,QLD,28567,11,42000,-27.4858,153.0381
SCG,Sydney,NSW,34123,11,48601,-33.8916,151.2244
GMHBA Stadium,Geelong,VIC,28345,11,36000,-38.158,144.3545
Engie Stadium,Sydney,NSW,15234,11,24000,-33.8474,150.9864
People First Stadium,Gold Coast,QLD,14567,11,25000,-27.9783,153.3748
UTAS Stadium,Launceston,TAS,17234,4,20500,-41.4275,147.1385
Blundstone Arena,Hobart,TAS,15678,3,19500,-42.8749,147.3764
Manuka Oval,Canberra,ACT,12345,2,13550,-35.318,149.1345
TIO Traeger Park,Alice Springs,NT,9876,1,10000,-23.7008,133.8703
